4,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,23,19,28,28,40,34,36,42,55,56,69,85,107,141,123,139,173,196,220,278,334,409,469,563,624,741,828,983,1132,1276,1304,1428,1489,1485,1422,1528,1473,1545,1479,1476,1406,1302,1052,972,909,789,673,642,586,496,433,382,366,376,292,272,263,257,225,211,167,186,150,163,147,115,128,125,102,109,92,79,82,68,68,75,69,69,64,50,51,58,55,46,46,41,35,38,33,26,27,27,31,39,23,26,24,26,15,14,16,19,24,16,18,17,17,12,18,15,14,13,12,13,16,10,9,13,9,4,2,3,7,12,6,9,1,4,3,3,5,10,0,0,3,0,0,1,2,2,1,2,1,1,4,2,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,6,17,22,30,61,46,63,81,114,131,182,203,261,289,351,408,449,520,576,641,772,870,908,977,1132,1224,1292,1428,1572,1766,1932,2000,1956,1814,1670,1490,1314,1049,924,810,689,624,544,478,399,403,334,322,302,284,230,195,218,206,148,138,146,124,97,108,95,100,104,97,80,64,62,48,64,43,52,44,49,38,37,34,27,31,26,36,19,21,34,25,17,27,13,17,19,12,8,10,12,9,11,11,10,10,7,9,11,10,7,10,8,9,7,11,7,9,8,6,8,8,5,10,3,4,6,4,4,5,2,5,2,1,1,1,1,1,1,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,14,16,18,17,24,26,19,22,35,42,43,48,71,55,63,68,72,79,83,75,96,118,109,144,133,130,171,179,183,235,286,326,349,355,379,413,533,597,687,724,769,845,937,988,1250,1402,1573,1831,1799,1799,1684,1685,1703,1614,1559,1254,1074,917,730,629,558,493,393,326,293,229,213,171,145,120,129,132,111,101,121,88,77,88,69,57,79,82,53,56,57,48,58,52,41,33,39,43,32,25,25,29,24,25,31,22,24,25,13,33,25,22,13,18,16,11,13,7,13,7,19,5,7,7,9,6,9,8,8,6,4,2,4,4,6,3,6,4,1,2,3,1,1,2,0,3,2,1,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,14,19,20,37,42,57,53,62,85,97,107,129,144,130,162,174,161,182,251,279,341,366,373,497,553,678,743,826,815,914,925,1088,1233,1488,1791,2027,2378,2342,2178,1935,1819,1552,1317,1040,793,658,523,452,360,325,264,260,249,191,171,175,148,132,145,111,128,100,104,87,93,79,76,70,84,64,64,63,61,49,46,39,46,31,36,48,33,30,31,39,30,24,26,26,20,22,19,28,14,11,18,8,12,12,9,11,7,6,4,6,5,3,2,1,5,6,2,3,1,1,4,1,1,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,25,24,61,46,61,74,113,89,145,166,207,278,306,370,366,401,364,450,554,569,620,748,884,1023,1242,1436,1546,1741,1933,1967,2057,2068,2079,1833,1695,1334,1133,995,814,602,519,454,414,345,338,258,251,222,204,174,160,177,164,132,130,129,100,111,91,83,70,64,81,80,69,66,67,63,50,51,50,51,52,42,40,43,36,35,44,18,26,27,25,24,20,15,15,10,13,14,9,16,4,6,8,8,5,7,10,5,3,1,6,1,1,2,1,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,9,11,18,19,19,28,33,48,62,69,83,99,121,110,143,168,134,174,192,224,243,219,221,231,241,264,263,272,267,301,293,298,289,312,324,344,322,307,318,343,325,346,343,354,350,351,328,335,337,356,359,382,358,377,374,376,392,347,367,389,368,386,349,403,376,373,406,394,398,395,418,392,377,387,409,391,410,395,394,369,403,404,382,416,435,399,388,393,407,369,384,327,360,316,368,332,327,310,319,362,315,331,347,350,292,353,334,345,314,278,281,261,216,203,229,174,210,157,179,164,137,152,149,129,112,120,107,100,96,83,72,64,76,66,55,50,46,37,42,51,41,41,43,37,34,26,33,31,37,39,31,40,29,40,31,29,22,37,32,29,34,36,35,26,24,28,39,38,39,28,26,24,15,28,32,23,24,28,26,27,30,26,33,25,30,23,18,31,19,32,16,18,20,25,20,36,34,38,31,38,35,27,26,37,172
6,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,15,16,20,26,44,49,68,72,120,139,146,170,223,235,294,331,322,334,298,360,373,392,376,421,421,458,456,481,504,447,498,505,462,465,505,488,475,501,491,506,522,516,507,535,456,502,485,503,493,543,526,539,562,550,569,531,499,510,498,492,495,521,512,472,455,486,496,506,477,514,491,523,530,476,454,429,420,425,419,367,321,307,335,288,268,236,232,214,230,224,208,178,163,178,137,144,129,108,86,82,91,69,64,53,49,56,42,51,40,40,44,43,36,34,28,40,29,34,33,57,37,41,26,42,45,35,29,33,29,39,27,27,35,32,31,26,25,33,24,30,24,23,23,17,17,27,21,27,16,18,27,29,18,13,20,15,7,18,14,14,22,16,11,15,20,15,14,13,12,13,6,21,14,17,15,16,12,8,9,9,10,12,6,15,5,16,5,8,9,9,10,6,8,8,7,5,10,8,8,6,9,7,9,12,8,5,7,7,4,8,5,6,2,9,5,2,3,8,11,27
6,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,15,16,27,25,32,40,67,105,146,219,261,301,354,378,366,423,444,510,561,616,633,689,672,622,714,632,628,658,640,681,716,723,683,687,697,708,684,653,688,660,635,633,617,665,705,649,685,663,704,672,708,710,675,673,691,620,588,590,577,542,521,487,476,461,392,327,313,278,253,226,190,202,166,160,123,118,117,118,113,102,81,82,65,62,60,51,59,53,48,55,40,54,45,56,45,50,50,49,52,38,48,36,27,47,27,35,32,39,37,22,29,25,30,31,31,25,36,31,22,25,16,15,20,23,18,24,18,24,15,18,21,15,15,16,16,12,10,10,14,11,15,10,15,13,15,11,11,11,7,13,14,7,9,13,10,9,15,2,8,6,8,10,9,6,8,2,4,0,1,5,2,5,2,6,6,6,4,7,4,0,1,3,0,3,1,2,2,3,1,4,5,3,1,2,2,2,2,0,2,1,3,2,0,1,3,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1
7,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,5,4,9,13,10,19,25,24,45,43,42,41,47,56,67,57,59,62,64,49,80,72,72,81,70,62,56,69,53,62,75,63,56,59,73,91,109,119,164,180,165,200,234,254,306,312,339,425,431,472,476,472,495,473,482,509,497,441,464,452,462,504,455,504,511,527,543,518,528,505,454,524,497,516,491,505,486,496,478,485,541,506,515,466,489,470,471,433,430,428,457,435,378,411,405,391,338,367,353,339,347,312,349,339,332,326,325,321,318,300,311,292,285,263,256,262,264,196,228,201,182,209,174,168,177,177,153,157,151,138,141,124,114,126,119,85,106,98,89,72,85,73,67,69,73,53,67,53,61,51,43,45,43,33,40,42,32,35,33,35,22,38,25,26,20,11,20,14,16,19,8,13,10,19,9,9,10,5,8,5,12,4,7,4,5,3,2,5,2,1,7,2,4,7,4,4,3,3,3,3,2,3,1,0,1,2,2,3,4
7,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,8,7,11,13,11,23,38,36,64,57,58,76,75,91,103,92,107,118,113,108,110,113,95,104,110,126,148,167,161,218,221,274,290,369,392,441,564,599,725,682,754,807,745,721,707,708,649,709,656,673,662,666,724,700,758,744,676,681,709,676,650,641,604,567,571,549,517,553,520,478,517,531,485,425,451,434,418,372,387,404,365,333,339,304,298,329,299,241,280,236,235,223,230,242,194,185,190,179,196,167,132,137,124,121,146,125,109,103,115,86,80,75,69,64,60,83,56,65,69,55,51,42,49,43,38,41,37,41,29,26,30,19,19,12,17,11,18,9,15,12,8,6,9,10,7,5,7,8,7,6,5,5,3,4,3,3,3,6,2,3,1,1,3,3,0,0,0,1,3,0,0,1,2,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,9,15,13,26,27,34,59,76,76,95,121,153,179,168,205,182,205,238,243,306,349,443,466,528,633,723,834,935,1031,1012,1003,978,995,1002,1004,963,969,968,917,945,888,867,885,860,832,777,762,770,683,670,615,598,560,560,473,490,520,519,437,396,391,382,363,329,323,302,275,267,256,232,231,195,216,182,199,182,134,147,159,129,137,114,122,92,88,86,83,66,76,72,67,61,54,61,58,58,38,35,27,29,35,26,31,23,22,19,11,16,12,14,15,10,9,11,4,10,10,15,5,5,8,4,6,0,4,1,3,2,3,1,1,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
